industry,trade_role,qualification,level,is_mandatory
Commercial Construction,Crane & Rigging,Public Liability Insurance,company,true
Commercial Construction,Crane & Rigging,Workers Compensation Insurance,company,true
Demolition & Remediation,Demolition & Strip-out,White Card (Construction Induction),worker,true
Demolition & Remediation,Demolition & Strip-out,Asbestos Awareness,worker,true
Demolition & Remediation,Demolition & Strip-out,Public Liability Insurance,company,true
Demolition & Remediation,Demolition & Strip-out,Workers Compensation Insurance,company,true
Demolition & Remediation,Asbestos Removal,White Card (Construction Induction),worker,true
Demolition & Remediation,Asbestos Removal,Asbestos Removal Licence,worker,true
Demolition & Remediation,Asbestos Removal,Asbestos Awareness,worker,true
Demolition & Remediation,Asbestos Removal,Public Liability Insurance,company,true
Demolition & Remediation,Asbestos Removal,Workers Compensation Insurance,company,true
Facilities Maintenance,Facilities & Building Maintenance,White Card (Construction Induction),worker,true
Facilities Maintenance,Facilities & Building Maintenance,Public Liability Insurance,company,true
Facilities Maintenance,Facilities & Building Maintenance,Workers Compensation Insurance,company,true
Landscaping & External Works,Landscaping & Turf,White Card (Construction Induction),worker,true
Landscaping & External Works,Landscaping & Turf,Public Liability Insurance,company,true
Landscaping & External Works,Landscaping & Turf,Workers Compensation Insurance,company,true
Landscaping & External Works,Fencing & Gates,White Card (Construction Induction),worker,true
Landscaping & External Works,Fencing & Gates,Public Liability Insurance,company,true
Landscaping & External Works,Fencing & Gates,Workers Compensation Insurance,company,true
Energy & Utilities,Solar & Renewables Install,White Card (Construction Induction),worker,true
Energy & Utilities,Solar & Renewables Install,Electrical Licence,worker,true
Energy & Utilities,Solar & Renewables Install,Working at Heights,worker,true
Energy & Utilities,Solar & Renewables Install,Public Liability Insurance,company,true
Energy & Utilities,Solar & Renewables Install,Workers Compensation Insurance,company,true
Energy & Utilities,Underground Services,White Card (Construction Induction),worker,true
Energy & Utilities,Underground Services,Plant Operator Ticket,worker,true
Energy & Utilities,Underground Services,Public Liability Insurance,company,true
Energy & Utilities,Underground Services,Workers Compensation Insurance,company,true
Mining & Resources,Shutdown & Maintenance Trades,White Card (Construction Induction),worker,true
Mining & Resources,Shutdown & Maintenance Trades,Confined Space Entry,worker,true
Mining & Resources,Shutdown & Maintenance Trades,Public Liability Insurance,company,true
Mining & Resources,Shutdown & Maintenance Trades,Workers Compensation Insurance,company,true
